Age at Training,SEX,EVENT_YEAR,GRADE,STATE,ZIP_CODE,ASVAB_AFQT_PERCENTILE,ASVAB_ADMIN,ASVAB_ELEC,ASVAB_GEN,ASVAB_MECH,ASVAB_AVERAGE,MARITAL_STATUS,Grad,Elim
43,M,2004,72,AL,35905,15,17,16,14,22,17.25,M,Yes,No
52,F,2005,74,SC,29611,36,30,15,15,25,21.25,D,Yes,No
39,M,2003,77,AZ,85301,42,23,17,32,20,23,S,Yes,No
24,M,2004,92,GU,96929,33,17,17,33,25,23,M,Yes,No
44,M,2005,80,FL,32219,20,13,24,36,20,23.25,M,Yes,No
18,F,2003,76,NJ,7719,26,28,24,24,20,24,M,Yes,No
19,M,2005,69,NC,28056,26,43,21,13,23,25,S,No,Yes
21,M,2003,78,WI,53005,25,42,9,25,25,25.25,UNKNOWN,No,Yes
19,M,2004,73,ND,58203,36,30,23,24,24,25.25,S,Yes,No
26,F,2004,85,LA,70433,28,41,20,19,23,25.75,M,Yes,No
25,F,2004,89,FL,32301,31,35,18,29,22,26,UNKNOWN,Yes,No
36,M,2004,90,DE,19904,26,30,26,24,25,26.25,M,Yes,No
24,M,2004,81,MD,21044,32,11,39,33,22,26.25,M,Yes,No
20,M,2004,88,CA,93060,28,49,24,14,19,26.5,S,Yes,No
21,M,2004,83,MS,39301,31,31,21,32,22,26.5,S,Yes,No
20,M,2003,79,GA,31044,31,37,27,27,16,26.75,UNKNOWN,No,Yes
21,F,2004,77,WA,98118,27,50,20,23,14,26.75,S,Yes,No
19,F,2003,81,CA,95673,34,40,18,30,20,27,UNKNOWN,Yes,No
18,M,2005,71,CO,80011,27,37,21,21,29,27,S,Yes,No
29,M,2005,90,VA,22042,30,30,30,33,15,27,M,Yes,No
23,F,2003,74,CT,06051,32,35,19,32,23,27.25,UNKNOWN,Yes,No
22,M,2005,82,MS,39350,34,41,27,28,14,27.5,S,Yes,No
18,M,2005,71,TX,76904,47,49,24,33,4,27.5,S,Yes,No
24,F,2005,91,NY,10305,30,37,26,28,19,27.5,M,Yes,No
34,F,2005,89,MI,48230,41,39,24,32,15,27.5,D,Yes,No
21,F,2004,86,MS,39401,32,35,22,32,22,27.75,S,Yes,No
20,F,2004,82,TX,76063,31,37,34,27,13,27.75,S,Yes,No
19,F,2004,76,HI,96706,29,21,23,42,25,27.75,M,Yes,No
18,F,2005,87,CA,91342,30,43,31,19,19,28,S,No,Yes
23,F,2003,77,AL,36109,38,53,13,33,13,28,S,Yes,No
22,F,2004,87,OK,73142,35,40,14,32,26,28,M,Yes,No
23,M,2003,97,MO,64050,85,7,7,92,7,28.25,UNKNOWN,Yes,No
20,M,2003,76,MD,20774,32,25,24,42,22,28.25,UNKNOWN,Yes,No
18,M,2004,79,VA,23220,28,46,19,22,26,28.25,S,Yes,No
24,F,2005,73,CA,93704,28,41,20,30,22,28.25,S,Yes,No
20,F,2003,92,NY,11207,28,46,29,25,14,28.5,UNKNOWN,Yes,No
20,F,2003,94,SC,29418,26,41,34,16,23,28.5,S,Yes,No
37,M,2004,84,CO,80219,32,31,20,34,29,28.5,S,Yes,No
31,F,2004,85,WI,53402,30,59,23,24,8,28.5,M,Yes,No
32,M,2004,94,PA,19050,37,35,21,32,27,28.75,S,Yes,No
19,F,2004,84,WI,53218,29,39,29,26,21,28.75,S,Yes,No
20,F,2004,88,VA,22554,28,27,35,33,20,28.75,M,Yes,No
20,F,2003,82,OH,44514,29,47,20,28,20,28.75,M,Yes,No
34,M,2005,73,TX,78154,28,17,26,33,39,28.75,M,Yes,No
35,F,2004,91,VA,22193,29,37,25,32,21,28.75,D,Yes,No
22,F,2003,96,KS,67207,36,50,20,24,22,29,D,Yes,No
18,F,2003,78,CA,93041,35,34,16,40,26,29,D,Yes,No
28,F,2003,79,CO,80111,30,42,26,32,17,29.25,UNKNOWN,Yes,No
20,M,2003,87,IN,46307,36,52,19,24,22,29.25,M,Yes,No
21,F,2003,85,OR,97603,35,46,22,29,21,29.5,UNKNOWN,Yes,No
23,M,2004,85,AR,72903,36,35,22,39,22,29.5,UNKNOWN,Yes,No
20,M,2004,94,MA,1337,36,52,28,23,15,29.5,S,Yes,No
19,M,2004,80,NY,11021,30,30,28,37,23,29.5,S,Yes,No
30,F,2004,78,MN,55811,33,35,17,38,28,29.5,S,Yes,No
30,M,2005,74,MD,20746,30,25,19,40,34,29.5,S,Yes,No
18,F,2004,72,CA,95206,32,54,33,18,13,29.5,S,Yes,No
29,F,2004,95,PA,15063,26,52,36,17,13,29.5,M,Yes,No
38,M,2004,85,MS,39507,36,14,21,33,50,29.5,M,Yes,No
19,M,2003,77,CA,92585,30,28,30,32,28,29.5,M,Yes,No
19,M,2003,80,AL,35023,30,37,45,24,13,29.75,S,Yes,No
29,M,2004,94,GU,96921,32,37,19,30,33,29.75,M,Yes,No
31,M,2003,90,CA,95624,26,28,44,24,23,29.75,M,Yes,No
25,M,2005,79,OH,43912,30,32,43,16,29,30,S,Yes,No
